-4.00000000e+01  9.10651375e-05 -4.00000000e+01  2.18670714e-05 -4.00000000e+01 -1.89474462e-05 -4.00000000e+01 -1.34696236e-06 
-3.90000000e+01  9.10048326e-05 -3.90000000e+01  2.18168113e-05 -3.90000000e+01 -1.89262870e-05 -3.90000000e+01 -1.35734152e-06 
-3.80000000e+01  9.09432643e-05 -3.80000000e+01  2.17668341e-05 -3.80000000e+01 -1.89054855e-05 -3.80000000e+01 -1.36778569e-06 
-3.70000000e+01  9.08804524e-05 -3.70000000e+01  2.17171438e-05 -3.70000000e+01 -1.88850413e-05 -3.70000000e+01 -1.37829494e-06 
-3.60000000e+01  9.08164168e-05 -3.60000000e+01  2.16677440e-05 -3.60000000e+01 -1.88649539e-05 -3.60000000e+01 -1.38886933e-06 
-3.50000000e+01  9.07511770e-05 -3.50000000e+01  2.16186384e-05 -3.50000000e+01 -1.88452225e-05 -3.50000000e+01 -1.39950892e-06 
-3.40000000e+01  9.06847526e-05 -3.40000000e+01  2.15698305e-05 -3.40000000e+01 -1.88258464e-05 -3.40000000e+01 -1.41021375e-06 
-3.30000000e+01  9.06171628e-05 -3.30000000e+01  2.15213236e-05 -3.30000000e+01 -1.88068245e-05 -3.30000000e+01 -1.42098389e-06 
-3.20000000e+01  9.05484270e-05 -3.20000000e+01  2.14731208e-05 -3.20000000e+01 -1.87881557e-05 -3.20000000e+01 -1.43181938e-06 
-3.10000000e+01  9.04785642e-05 -3.10000000e+01  2.14252253e-05 -3.10000000e+01 -1.87698389e-05 -3.10000000e+01 -1.44272029e-06 
-3.00000000e+01  9.04075934e-05 -3.00000000e+01  2.13776398e-05 -3.00000000e+01 -1.87518727e-05 -3.00000000e+01 -1.45368665e-06 
-2.90000000e+01  9.03355332e-05 -2.90000000e+01  2.13303671e-05 -2.90000000e+01 -1.87342557e-05 -2.90000000e+01 -1.46471852e-06 
-2.80000000e+01  9.02624025e-05 -2.80000000e+01  2.12834098e-05 -2.80000000e+01 -1.87169864e-05 -2.80000000e+01 -1.47581594e-06 
-2.70000000e+01  9.01882197e-05 -2.70000000e+01  2.12367705e-05 -2.70000000e+01 -1.87000632e-05 -2.70000000e+01 -1.48697897e-06 
-2.60000000e+01  9.01130032e-05 -2.60000000e+01  2.11904514e-05 -2.60000000e+01 -1.86834844e-05 -2.60000000e+01 -1.49820764e-06 
-2.50000000e+01  9.00367713e-05 -2.50000000e+01  2.11444548e-05 -2.50000000e+01 -1.86672484e-05 -2.50000000e+01 -1.50950200e-06 
-2.40000000e+01  8.99595420e-05 -2.40000000e+01  2.10987829e-05 -2.40000000e+01 -1.86513533e-05 -2.40000000e+01 -1.52086210e-06 
-2.30000000e+01  8.98813333e-05 -2.30000000e+01  2.10534375e-05 -2.30000000e+01 -1.86357974e-05 -2.30000000e+01 -1.53228797e-06 
-2.20000000e+01  8.98021631e-05 -2.20000000e+01  2.10084205e-05 -2.20000000e+01 -1.86205787e-05 -2.20000000e+01 -1.54377965e-06 
-2.10000000e+01  8.97220489e-05 -2.10000000e+01  2.09637337e-05 -2.10000000e+01 -1.86056954e-05 -2.10000000e+01 -1.55533718e-06 
-2.00000000e+01  8.96410083e-05 -2.00000000e+01  2.09193787e-05 -2.00000000e+01 -1.85911455e-05 -2.00000000e+01 -1.56696060e-06 
-1.90000000e+01  8.95590588e-05 -1.90000000e+01  2.08753571e-05 -1.90000000e+01 -1.85769271e-05 -1.90000000e+01 -1.57864994e-06 
-1.80000000e+01  8.94762175e-05 -1.80000000e+01  2.08316702e-05 -1.80000000e+01 -1.85630380e-05 -1.80000000e+01 -1.59040524e-06 
-1.70000000e+01  8.93925015e-05 -1.70000000e+01  2.07883193e-05 -1.70000000e+01 -1.85494764e-05 -1.70000000e+01 -1.60222652e-06 
-1.60000000e+01  8.93079278e-05 -1.60000000e+01  2.07453057e-05 -1.60000000e+01 -1.85362401e-05 -1.60000000e+01 -1.61411383e-06 
-1.50000000e+01  8.92225132e-05 -1.50000000e+01  2.07026305e-05 -1.50000000e+01 -1.85233271e-05 -1.50000000e+01 -1.62606719e-06 
-1.40000000e+01  8.91362744e-05 -1.40000000e+01  2.06602946e-05 -1.40000000e+01 -1.85107353e-05 -1.40000000e+01 -1.63808662e-06 
-1.30000000e+01  8.90492278e-05 -1.30000000e+01  2.06182989e-05 -1.30000000e+01 -1.84984626e-05 -1.30000000e+01 -1.65017216e-06 
-1.20000000e+01  8.89613899e-05 -1.20000000e+01  2.05766444e-05 -1.20000000e+01 -1.84865069e-05 -1.20000000e+01 -1.66232384e-06 
-1.10000000e+01  8.88727768e-05 -1.10000000e+01  2.05353316e-05 -1.10000000e+01 -1.84748661e-05 -1.10000000e+01 -1.67454166e-06 
-1.00000000e+01  8.87834046e-05 -1.00000000e+01  2.04943612e-05 -1.00000000e+01 -1.84635382e-05 -1.00000000e+01 -1.68682566e-06 
-9.00000000e+00  8.86932893e-05 -9.00000000e+00  2.04537339e-05 -9.00000000e+00 -1.84525209e-05 -9.00000000e+00 -1.69917586e-06 
-8.00000000e+00  8.86024466e-05 -8.00000000e+00  2.04134499e-05 -8.00000000e+00 -1.84418122e-05 -8.00000000e+00 -1.71159228e-06 
-7.00000000e+00  8.85108922e-05 -7.00000000e+00  2.03735098e-05 -7.00000000e+00 -1.84314099e-05 -7.00000000e+00 -1.72407493e-06 
-6.00000000e+00  8.84186416e-05 -6.00000000e+00  2.03339139e-05 -6.00000000e+00 -1.84213120e-05 -6.00000000e+00 -1.73662383e-06 
